;МС;Название поста;Индекс;АГК;треб;что пост;Лена
5;Багдарин;Витим-Усть-Заза;3095;;;;
10;Сосновоозёрское;Витим-Романовка;3096;;;3096;
1;Таксимо;;3102;;;3102;
2;Таксимо;;3103;;;3103;
6;Багдарин;Чина-Троицкий Прииск;3110;;;;
7;Багдарин;Заза-Усть-Заза;3113;;;;
8;Багдарин;Багдарин- Багдарин;3133;;;;
3;Таксимо;;3135;;;3135;
4;Таксимо;;3569;;;3569;
9;Багдарин;Витимка-Варваринский;3655;;;;
;неизвестно;???;6076;;6076;;
;неизвестно;???;6077;;6077;;
;неизвестно;???;6080;;6080;;
;неизвестно;???;6084;;6084;;
;неизвестно;???;6086;;6086;;
;неизвестно;???;6089;;6089;;
;неизвестно;???;6092;;6092;;
;неизвестно;???;6096;;6096;;
;неизвестно;???;6105;;6105;;
;неизвестно;???;6121;;6121;;
14;Нижнеангарск;Гоуджекит- Гоуджекит;7011;;;7011;
15;Нижнеангарск;В.Ангара-Уоян;7013;;;7013;
16;Нижнеангарск;В.Ангара-В.Заимка;7015;;;7015;
27;Бабушкин;Баргузин-Могойто;7022;;;7022;
17;Баргузин;Баргузин- Баргузин;7024;;;7024;
18;Кяхта;Селенга-Усть-Кяхта;7043;7043;7043;7043;7043
20;Новоселенгинск;Селенга- Новоселенгинск;7047;7047;7047;7047;7047
28;Бабушкин;Селенга-Улан-Удэ;7050;;7050;7050;7050
29;Бабушкин;Селенга-рзд.Мостовой;7051;;;7051;
22;Кабанск;Селенга-Кабанск;7053;7053;7053;7053;7053
30;Петропавловка;Джида-Хамней;7056;;;;7056
31;Санага;Цакирка-Санага;7062;;;;
;Чита;Чита Чикой-Гремячка;7072;;;;7072
19;Кяхта;Чикой-Чиккожзавод;7074;;;7074;
21;Новоселенгинск;Чикой-Поворот;7076;7076;7076;7076;7076
;Чита;Чита Хилок-Малета;7098;;;;7098
32;Улан-Удэ;Хилок-Малый Куналей;7099;;;7099;
11;Сосновоозёрское;Уда-Усть-Эгита;7124;;;;
24;Новая Курба;Уда-Первомаевка;7128;7128;;7128;
33;Улан-Удэ;Уда-Улан-Удэ;7130;7130;7130;7130;7130
12;Сосновоозёрское;Ниж.Майла;7133;;;;
;Улан-Удэ;ААГП р. Она-Анинское;7134;7134;;;
13;Сосновоозёрское;Кудун-Михайловка;7135;;;;
25;Новая Курба;Курба-Новая Курба;7142;;7142;7142;7142
23;Кабанск;Итанца-Татаурово;7148;;;;
26;Бабушкин;Мысовка-Бабушкин;7161;;;;
34;Улан-Удэ;Уда-Удинск;7202;;;;
35;Улан-Удэ;Байкал-Турка;8915;;;8915;
;что поступает;???;28082;;;28082;
;что поступает;???;7041;;;7041;
;;Чит мет Красный Чикой Осадки;30935;;;;30935
;;мет Кяхта осадки, температура;30925;;;;30925
;;мет Улан-удэ осадки, температура;30823;;;;30823
;;мет Кабанск осадки, температура;30729;;;;30729
